Step,Vehicle_ID,Battery_Level
10,EV_0,53.0
12,EV_0,52.0
14,EV_0,51.0
14,EV_1,71.0
16,EV_0,50.0
16,EV_1,70.0
16,EV_2,83.0
18,EV_0,49.0
18,EV_1,69.0
18,EV_2,82.0
20,EV_0,48.0
20,EV_1,68.0
20,EV_2,81.0
20,EV_3,55.0
22,EV_0,47.0
22,EV_1,67.0
22,EV_2,80.0
22,EV_3,54.0
22,EV_4,67.0
24,EV_0,46.0
24,EV_1,66.0
24,EV_2,79.0
24,EV_3,53.0
24,EV_4,66.0
26,EV_0,45.0
26,EV_1,65.0
26,EV_2,78.0
26,EV_3,52.0
26,EV_4,65.0
26,EV_5,71.0
28,EV_0,44.0
28,EV_1,64.0
28,EV_2,77.0
28,EV_3,51.0
28,EV_4,64.0
28,EV_5,70.0
30,EV_0,43.0
30,EV_1,63.0
30,EV_2,76.0
30,EV_3,50.0
30,EV_4,63.0
30,EV_5,69.0
30,EV_6,74.0
32,EV_0,42.0
32,EV_1,62.0
32,EV_2,75.0
32,EV_3,49.0
32,EV_4,62.0
32,EV_5,68.0
32,EV_6,73.0
34,EV_0,41.0
34,EV_1,61.0
34,EV_2,74.0
34,EV_3,48.0
34,EV_4,61.0
34,EV_5,67.0
34,EV_6,72.0
36,EV_0,40.0
36,EV_1,60.0
36,EV_2,73.0
36,EV_3,47.0
36,EV_4,60.0
36,EV_5,66.0
36,EV_6,71.0
36,EV_7,61.0
38,EV_0,39.0
38,EV_1,59.0
38,EV_2,72.0
38,EV_3,46.0
38,EV_4,59.0
38,EV_5,65.0
38,EV_6,70.0
38,EV_7,60.0
40,EV_0,38.0
40,EV_1,58.0
40,EV_2,71.0
40,EV_3,45.0
40,EV_4,58.0
40,EV_5,64.0
40,EV_6,69.0
40,EV_7,59.0
40,EV_8,93.0
42,EV_0,37.0
42,EV_1,57.0
42,EV_2,70.0
42,EV_3,44.0
42,EV_4,57.0
42,EV_5,63.0
42,EV_6,68.0
42,EV_7,58.0
42,EV_8,92.0
44,EV_0,36.0
44,EV_1,56.0
44,EV_2,69.0
44,EV_3,43.0
44,EV_4,56.0
44,EV_5,62.0
44,EV_6,67.0
44,EV_7,57.0
44,EV_8,91.0
46,EV_0,35.0
46,EV_1,55.0
46,EV_2,68.0
46,EV_3,42.0
46,EV_4,55.0
46,EV_5,61.0
46,EV_6,66.0
46,EV_7,56.0
46,EV_8,90.0
46,EV_9,63.0
48,EV_0,34.0
48,EV_1,54.0
48,EV_2,67.0
48,EV_3,41.0
48,EV_4,54.0
48,EV_5,60.0
48,EV_6,65.0
48,EV_7,55.0
48,EV_8,89.0
48,EV_9,62.0
50,EV_0,33.0
50,EV_1,53.0
50,EV_10,80.0
50,EV_2,66.0
50,EV_3,40.0
50,EV_4,53.0
50,EV_5,59.0
50,EV_6,64.0
